x,y,z
3.241266564,3.287541658,0
3.112507477,3.548068851,0
2.879484266,3.731466725,0
2.683280081,4.003008202,0
2.392386764,4.189478353,0
2.115505457,4.363842413,0
1.895758286,4.651279524,0
1.651459992,4.938491866,0
1.816147268,5.220722899,0
2.056416556,5.497124866,0
2.302594826,5.724744305,0
2.375782587,5.864645645,0
2.660650887,6.143408671,0
2.870857365,6.420902774,0
2.875906427,6.708609447,0
3.131824155,7.002292201,0
3.399581661,7.292543426,0
3.662904372,7.531867981,0
3.842766558,7.807838589,0
4.095287119,8.081993014,0
4.38743863,8.373781204,0
4.648529415,8.66909799,0
4.911724334,8.965538591,0
5.205637311,9.143933102,0
5.483643775,9.347864628,0
5.487781708,9.544676691,0
5.777619009,9.770323366,0
6.051328246,9.754222458,0
6.283509855,9.503103262,0
6.563521181,9.700499078,0
6.845045839,9.927253878,0
7.128718202,9.778287416,0
7.379992818,9.978256753,0
7.656297361,10.25428491,0
7.933991258,10.44622297,0
8.226055716,10.73303715,0
8.498267268,11.00873432,0
8.792858009,11.22040125,0
9.059958969,11.36754354,0
9.333726977,11.45423474,0
9.619422083,11.69993382,0
9.879780834,11.88246081,0
